sp,Ns,N1,N2,int_start,int_end,interval_length,int
tet2pa,2893,3374,3363,1990-07-31,1995-05-15,4.792154280219459,3
alsebl,5695,6721,6386,1990-08-05,1995-05-13,4.773046318506348,3
ocotob,62,138,105,1990-07-23,1995-04-28,4.766682549136392,3
solaha,5,49,18,1990-08-07,1995-06-01,4.820495138694748,3
quaras,1029,1218,1163,1990-08-31,1995-06-04,4.759240129452768,3
gustsu,27,71,49,1990-08-23,1995-05-22,4.74662456145877,3
pterro,1142,1464,1350,1990-07-16,1995-04-27,4.783369754888507,3
virosu,28,40,28,1990-07-25,1995-04-26,4.7584148727984354,3
simaam,485,784,732,1990-06-30,1995-04-15,4.79540531797718,3
protte,1909,2300,2172,1990-09-22,1995-07-04,4.782484046783089,3
brosal,422,479,458,1990-08-08,1995-05-19,4.780205316478682,3
ingape,79,131,91,1990-11-28,1995-08-31,4.759887984022668,3
poular,317,530,336,1990-09-21,1995-07-05,4.789455870226094,3
casear,20,36,31,1990-07-14,1995-05-03,4.804384543624492,3
hirttr,3193,3668,3573,1990-08-07,1995-05-15,4.771546707465028,3
ocotwh,229,429,257,1990-10-06,1995-07-09,4.758429659106596,3
guatdu,609,870,703,1990-07-30,1995-05-10,4.779485131652301,3
anacex,0,0,1,NA,1995-04-26,NA,3
tri2tu,8359,9822,9528,1990-09-14,1995-06-18,4.76106473496763,3
guarsp,899,1127,995,1990-08-10,1995-05-20,4.779172758445265,3
guargu,1098,1339,1291,1990-09-04,1995-06-11,4.769356937915022,3
zantpr,64,97,71,1990-07-25,1995-04-28,4.762454177117499,3
termob,25,34,32,1990-09-22,1995-07-10,4.800392828364222,3
guazul,5,9,8,1990-08-31,1995-04-30,4.6668569254185694,3
tab1ro,141,202,157,1990-08-08,1995-05-21,4.785625725123776,3
sloate,360,413,373,1990-07-23,1995-05-06,4.790039604014983,3
alchco,14,46,21,1990-07-11,1995-04-14,4.76230182364786,3
loncla,489,634,580,1990-07-04,1995-04-21,4.801493304166809,3
luehse,46,105,76,1990-07-15,1995-05-04,4.805860541765374,3
tripcu,55,96,76,1990-10-08,1995-06-24,4.712648702235043,3
cecrob,2,16,17,1990-07-18,1995-04-08,4.725886381950038,3
licapl,242,280,269,1990-10-06,1995-07-15,4.774214674921246,3
eugeco,512,630,576,1990-08-21,1995-06-04,4.78829664057404,3
heisco,473,533,503,1990-07-25,1995-05-10,4.794235987350205,3
eugene,381,446,430,1990-08-15,1995-05-23,4.771689078667483,3
pri2co,772,853,811,1990-05-14,1995-03-03,4.802995305420723,3
sponra,62,119,118,1990-07-27,1995-05-02,4.76695763980076,3
poutre,1110,1436,1282,1990-08-12,1995-05-21,4.773507218153418,3
guapst,36,42,40,1990-07-20,1995-05-15,4.822658186562295,3
cordbi,319,613,489,1990-06-05,1995-04-02,4.826966802013742,3
zantbe,5,46,36,1990-06-13,1995-06-21,5.02420753093773,3
annosp,53,100,120,1990-08-31,1995-06-07,4.767529680365297,3
tab2ar,803,954,1002,1990-07-15,1995-04-29,4.792446192305661,3
jac1co,7,24,15,1990-06-03,1995-04-13,4.861415525114156,3
zantp1,65,123,76,1990-06-13,1995-04-10,4.827726097736823,3
chr2ar,461,533,550,1990-08-05,1995-05-15,4.777863555755971,3
eugeoe,1438,1841,1684,1990-08-07,1995-05-16,4.774244607843769,3
huracr,4,10,4,1990-10-17,1995-07-21,4.761643835616439,3
sapiau,6,16,10,1990-08-20,1995-05-15,4.739006849315064,3
apeime,11,30,15,1990-07-02,1995-04-03,4.7544292237442916,3
ficuyo,0,0,0,NA,NA,NA,3
ingago,250,325,274,1990-08-06,1995-05-12,4.7687010375885475,3
ceibpe,2,13,2,1990-07-27,1995-06-16,4.890516332982088,3
cavapl,1,2,2,1990-08-02,1995-09-16,5.126027397260274,3
chr2ca,66,81,98,1990-08-23,1995-06-09,4.798271881050749,3
lindla,4,9,7,1990-08-20,1995-07-06,4.880017395085887,3
virose,885,1117,900,1990-07-27,1995-05-09,4.787688685582849,3
pla1pi,52,79,95,1990-07-28,1995-04-27,4.753101585244539,3
lacmpa,21,29,28,1990-07-10,1995-04-23,4.7876408664552255,3
drypst,1387,1599,1520,1990-09-22,1995-06-25,4.758458765459485,3
myrofr,6,7,6,1990-10-31,1995-07-26,4.735942596216569,3
ingaco,34,64,40,1990-07-28,1995-06-12,4.875616438356164,3
posola,43,50,50,1990-07-30,1995-05-22,4.815123287671232,3
casesy,76,113,92,1990-07-07,1995-04-10,4.762347214682148,3
pla2el,51,84,67,1990-08-10,1995-05-27,4.798096114340238,3
cordal,20,45,32,1990-07-19,1995-05-28,4.860683028919331,3
dio2ar,42,48,54,1990-06-17,1995-04-24,4.852467021816337,3
tratas,2,7,3,1990-06-04,1995-04-29,4.903587736464447,3
colugl,0,0,0,NA,NA,NA,3
apeiti,0,5,2,1990-05-17,1995-05-12,4.986849315068493,3
gar2in,3419,3790,3752,1990-08-24,1995-05-31,4.769640437835813,3
poutst,24,28,32,1990-07-20,1995-04-16,4.74382338551859,3
tab1gu,30,36,35,1990-06-11,1995-03-30,4.803220265275063,3
ingafa,51,67,65,1990-07-05,1995-04-23,4.801811175943256,3
sch1zo,0,0,0,NA,NA,NA,3
sterap,17,27,24,1990-08-05,1995-06-06,4.838939624556063,3
cassel,700,759,788,1990-07-12,1995-04-23,4.783806138222741,3
calolo,598,722,835,1990-07-31,1995-05-04,4.763030785846062,3
hyeral,29,44,35,1990-06-25,1995-04-20,4.822828678171143,3
zuelgu,15,24,28,1990-10-03,1995-07-07,4.762018917155903,3
cecrin,2,83,74,1990-07-18,1995-04-19,4.757493654737424,3
hassfl,240,383,263,1990-07-30,1995-05-12,4.787170839647463,3
sponmo,20,48,48,1990-06-04,1995-03-24,4.80519406392694,3
ingama,267,561,372,1990-08-23,1995-05-19,4.740928271039266,3
allops,59,95,65,1990-08-18,1995-05-26,4.770785868781546,3
virosp,9,17,12,1990-08-26,1995-04-21,4.653639538006983,3
sympgl,103,124,120,1990-09-13,1995-06-25,4.78303579319487,3
mar1la,9,10,11,1990-10-18,1995-07-29,4.7800996264009985,3
ficutr,0,0,1,NA,1995-07-26,NA,3
aspicr,330,383,366,1990-09-24,1995-06-20,4.741401939647379,3
dendar,10,19,11,1990-06-05,1995-04-16,4.865137314019796,3
andiin,182,200,197,1990-09-14,1995-06-16,4.7568862387872874,3
diptpa,11,16,13,1990-07-23,1995-05-15,4.812947839831399,3
ast2gr,15,19,28,1990-07-07,1995-04-02,4.738546709238856,3
hirtam,25,32,26,1990-10-08,1995-07-14,4.767169388830344,3
ficuob,0,0,1,NA,1995-08-21,NA,3
tropra,205,241,237,1990-09-01,1995-06-13,4.78167894259824,3
protpa,2278,2635,2571,1990-06-30,1995-04-22,4.8112625264080044,3
ficuto,2,4,2,1990-09-26,1995-09-17,4.977397260273973,3
unonpi,335,468,386,1990-08-08,1995-05-22,4.788129673813538,3
maquco,854,984,954,1990-08-08,1995-05-22,4.790549332089344,3
gar2ma,302,433,330,1990-07-20,1995-04-25,4.766412557988372,3
macrgl,58,71,63,1990-10-22,1995-07-27,4.766621035191358,3
cespma,2,3,2,1990-12-14,1995-09-26,4.786301369863014,3
cordla,570,796,757,1990-08-11,1995-05-18,4.771118144785557,3
cupala,20,35,27,1990-08-25,1995-05-30,4.764772051895337,3
zantse,0,0,0,NA,NA,NA,3
xyl1ma,622,730,756,1990-09-07,1995-06-06,4.747829546029958,3
geniam,36,45,37,1990-09-03,1995-06-17,4.7903755810605135,3
ingasp,3,5,3,1990-07-27,1995-06-23,4.908493150684931,3
hampap,3,14,8,1990-06-11,1995-03-26,4.79055772994129,3
sapisp,0,0,0,NA,NA,NA,3
nectci,143,240,175,1990-04-25,1995-02-20,4.829639921722112,3
ficuma,1,4,1,1990-05-19,1995-05-08,4.971232876712329,3
maytsc,43,50,48,1990-09-21,1995-06-21,4.750413242009133,3
phoeci,28,56,43,1990-08-02,1995-05-04,4.7562372002002435,3
licahy,91,96,103,1990-08-30,1995-05-26,4.740721283858667,3
tachve,2250,2792,2629,1990-07-17,1995-04-29,4.786975808533998,3
protco,456,577,526,1990-08-04,1995-05-15,4.780797210787714,3
celtsc,47,61,48,1990-08-26,1995-06-06,4.780288569503704,3
nects1,1,4,1,1990-10-16,1995-07-07,4.726027397260274,3
ormocr,46,46,58,1990-10-02,1995-07-20,4.800433344971353,3
apeihy,0,0,0,NA,NA,NA,3
ficupo,0,1,0,1990-06-13,NA,NA,3
turpoc,1,1,4,1990-08-14,1995-07-16,4.925342465753425,3
tremmi,0,2,6,1990-07-01,1995-06-07,4.936986301369863,3
ingasa,127,177,142,1990-07-17,1995-04-26,4.779967865392184,3
ocotce,182,269,236,1990-08-01,1995-05-12,4.781296160913803,3
guargr,30,38,39,1990-07-04,1995-04-28,4.818072578707041,3
ingapu,7,11,8,1990-09-01,1995-05-02,4.667434620174345,3
