int,sp,N1,N2,Ns,Nd,Nr,int_start,int_end,interval_length,M_Koh,R_Koh,...1,Latin,pft
2,chr2ca,53,81,47,6,34,1985-05-03,1990-08-23,5.3104927103376305,2.371214252045669e-6,1.3436880761592124e-5,53,Chrysophyllum cainito,ST_DT
2,lindla,10,9,3,7,6,1985-04-24,1990-08-20,5.3244444444444445,4.047580617906521e-6,3.469354815348447e-6,54,Lindackeria laurina,ST_DT
2,virose,1315,1117,1044,271,73,1985-04-24,1990-07-27,5.259274709501385,1.1290915569255124e-4,3.0414643415336683e-5,83,Virola sebifera,LD_DI
2,pla1pi,84,79,47,37,32,1985-05-04,1990-07-28,5.233955097558356,1.7641677392043383e-5,1.5257666933659142e-5,89,Platymiscium pinnatum,ST_DT
2,lacmpa,30,29,20,10,9,1985-04-13,1990-07-10,5.245085813257754,4.463483800201496e-6,4.017135420181346e-6,55,Lacmellea panamensis,LD_DT
2,drypst,1635,1599,1400,235,199,1985-06-07,1990-09-22,5.29674874243933,9.440648680012383e-5,7.994421648180699e-5,57,Drypetes standleyi,ST_DT
2,ingaco,69,64,42,27,22,1985-04-21,1990-07-28,5.271054198927933,1.2403802691919219e-5,1.010680219341566e-5,58,Inga cocleensis,ST_DI
2,posola,56,50,47,9,3,1985-04-29,1990-07-30,5.254796477495108,3.6727080628099903e-6,1.2242360209366635e-6,59,Posoqueria latifolia,ST_DT
2,casesy,127,113,85,42,28,1985-04-12,1990-07-07,5.238897198706024,1.874049976094935e-5,1.2493666507299568e-5,60,Casearia sylvestris,ST_DT
2,pla2el,82,84,56,26,28,1985-05-04,1990-08-10,5.271720522488983,1.1445137498071673e-5,1.2325532690231033e-5,61,Platypodium elegans,ST_DT
2,cordal,41,45,20,21,25,1985-04-19,1990-07-19,5.251468240709804,1.0476498616485436e-5,1.2472022162482663e-5,62,Cordia alliodora,ST_DT
2,dio2ar,34,48,32,2,16,1985-03-13,1990-06-17,5.2667438893365555,7.782490632527535e-7,6.225992506022028e-6,63,Diospyros artanthifolia,ST_DT
2,tratas,16,7,5,11,2,1985-04-06,1990-06-04,5.165875733855187,6.4515801022811415e-6,1.1730145640511167e-6,64,Trattinnickia aspera,LD_DT
2,apeiti,4,5,1,3,4,1985-05-13,1990-05-17,5.015890410958904,1.93180601535646e-6,2.5757413538086134e-6,65,Apeiba tibourbou,LD_DT
2,gar2in,3608,3790,3250,358,540,1985-05-17,1990-08-24,5.2734890582222835,1.4158365603782406e-4,2.1356193927493013e-4,72,Garcinia intermedia,ST_DT
2,poutst,26,28,22,4,6,1985-04-17,1990-07-20,5.259001956947163,1.6258392704295703e-6,2.4387589056443555e-6,87,Pouteria stipitata,ST_DI
2,tab1gu,37,36,32,5,4,1985-03-18,1990-06-11,5.23429388292402,2.02431174993318e-6,1.619449399946544e-6,66,Tabebuia guayacan,ST_DT
2,ingafa,55,67,44,11,23,1985-04-14,1990-07-05,5.227754874444711,4.596486410988739e-6,9.610835222976453e-6,67,Inga laurina,ST_DT
2,sterap,22,27,16,6,11,1985-04-15,1990-08-05,5.3084866934182005,2.561927521672403e-6,4.696867123066072e-6,69,Sterculia apetala,LD_DT
2,cassel,696,759,606,90,153,1985-04-06,1990-07-12,5.267321227306646,3.611670682681523e-5,6.139840160558589e-5,70,Cassipourea elliptica,ST_DI
2,calolo,555,722,456,99,266,1985-05-06,1990-07-31,5.239025257565081,4.085661604066529e-5,1.0977636229108046e-4,71,Calophyllum longifolium,ST_DI
2,hyeral,45,44,30,15,14,1985-04-16,1990-06-25,5.194409851944098,6.758027604087825e-6,6.30749243048197e-6,73,Hieronyma alchorneoides,ST_DT
2,zuelgu,22,24,16,6,8,1985-06-10,1990-10-03,5.31873183893732,2.5571389026808187e-6,3.4095185369077585e-6,74,Zuelania guidonia,ST_DT
2,cecrin,116,83,9,107,74,1985-04-16,1990-07-18,5.256762240269533,8.934388195112388e-5,6.178922676993615e-5,75,Cecropia insignis,LD_DT
2,hassfl,527,383,346,181,37,1985-04-24,1990-07-30,5.268848523315483,8.089758207985663e-5,1.6537074789804945e-5,76,Hasseltia floribunda,ST_DI
2,sponmo,24,48,6,18,42,1985-03-08,1990-06-04,5.24412100456621,1.1150246904238266e-5,2.6017242776555954e-5,77,Spondias mombin,LD_DT
2,ingama,652,561,308,344,253,1985-05-18,1990-08-23,5.26885921449083,1.7300119522273318e-4,1.272363441609055e-4,78,Inga marginata,ST_DI
2,allops,109,95,77,32,18,1985-05-18,1990-08-18,5.254469880872849,1.39524994019532e-5,7.848280913598674e-6,79,Allophylus psilospermus,ST_DI
2,virosp,23,17,14,9,3,1985-05-09,1990-08-26,5.3016711628069935,4.111824279068774e-6,1.3706080930229246e-6,81,Virola multiflora,LD_DT
2,sympgl,116,124,99,17,25,1985-06-05,1990-09-13,5.276312340957229,6.86435821280583e-6,1.0094644430596809e-5,82,Symphonia globulifera,ST_DI
2,mar1la,14,10,10,4,0,1985-07-29,1990-10-18,5.226144814090018,1.745903965513497e-6,0,139,Marila laxiflora,ST_DT
2,aspicr,375,383,331,44,52,1985-06-01,1990-09-24,5.3156722724942504,1.740426988864982e-5,2.056868259567706e-5,85,Aspidosperma spruceanum,ST_DI
2,dendar,30,19,18,12,1,1985-03-25,1990-06-05,5.199951934631099,5.613935307276144e-6,4.67827942273012e-7,86,Dendropanax arboreus,LD_DT
2,andiin,208,200,166,42,34,1985-05-29,1990-09-14,5.298499473129609,1.7336959710654152e-5,1.4034681670529553e-5,88,Andira inermis,ST_DT
2,diptpa,17,16,12,5,4,1985-04-21,1990-07-23,5.259760273972603,2.1785845846382027e-6,1.7428676677105622e-6,90,Dipteryx oleifera,ST_DT
2,ast2gr,15,19,7,8,12,1985-05-06,1990-07-07,5.17414083153088,4.108894652898255e-6,6.1633419793473825e-6,91,Astronium graveolens,ST_DT
2,hirtam,33,32,26,7,6,1985-06-25,1990-10-08,5.291150373599002,2.907853910290361e-6,2.492446208820309e-6,92,Hirtella americana,ST_DT
2,tropra,231,241,191,40,50,1985-05-25,1990-09-01,5.274638648832933,1.635792287518362e-5,2.0447403593979525e-5,94,Trophis racemosa,ST_DT
2,protpa,2510,2635,2139,371,496,1985-04-08,1990-06-30,5.232653948164607,1.5112280004949183e-4,2.020401855109109e-4,95,Protium panamense,LD_DI
2,ficuto,9,4,4,5,0,1985-05-12,1990-09-26,5.378462709284627,2.5192370655375623e-6,0,96,Ficus tonduzii,LD_DT
2,unonpi,492,468,353,139,115,1985-05-07,1990-08-08,5.257336777266614,6.0219928930710105e-5,4.982224335994001e-5,99,Unonopsis pittieri,LD_DI
2,maquco,949,984,793,156,191,1985-05-08,1990-08-08,5.253056435042024,6.379008185281993e-5,7.810195919159363e-5,97,Maquira guianensis,ST_DI
2,gar2ma,561,433,363,198,70,1985-04-29,1990-07-20,5.229410947005157,8.961813950556387e-5,3.168318063328016e-5,98,Garcinia madruno,ST_DI
2,macrgl,69,71,56,13,15,1985-07-06,1990-10-22,5.297831539564967,5.331987291146763e-6,6.152293028246266e-6,100,Macrocnemum roseum,LD_DT
2,cespma,3,3,2,1,1,1985-06-19,1990-12-14,5.49041095890411,4.2713220238269137e-7,4.2713220238269137e-7,101,Cespedesia spathulata,ST_DT
2,cordla,754,796,533,221,263,1985-05-10,1990-08-11,5.257190680702671,9.628682618693411e-5,1.1458568003241481e-4,110,Cordia lasiocalyx,LD_DT
2,cupala,31,35,23,8,12,1985-05-08,1990-08-25,5.299609873114074,3.3955397405775275e-6,5.093309610866291e-6,102,Cupania latifolia,ST_DT
2,xyl1ma,657,730,553,104,177,1985-05-22,1990-09-07,5.29821188048623,4.205070231326707e-5,7.156706066777185e-5,104,Xylopia macrantha,ST_DI
2,geniam,48,45,43,5,2,1985-05-26,1990-09-03,5.277690258751902,1.980183774575558e-6,7.920735098302232e-7,105,Genipa americana,ST_DT
2,ingasp,6,5,4,2,1,1985-03-25,1990-07-27,5.342191780821918,8.770781951366731e-7,4.3853909756833657e-7,106,Inga spectabilis,ST_DT
2,hampap,8,14,2,6,12,1985-04-14,1990-06-11,5.160812133072408,3.7690539399536256e-6,7.538107879907251e-6,107,Hampea appendiculata,LD_DI
2,nectci,275,240,183,92,57,1985-02-24,1990-04-25,5.1671307596513065,4.168770418592861e-5,2.582825150649925e-5,111,Nectandra cissiflora,ST_DI
2,ficuma,4,4,2,2,2,1985-03-14,1990-05-19,5.183561643835616,1.0013219060403333e-6,1.0013219060403333e-6,112,Ficus maxima,LD_DT
2,maytsc,46,50,41,5,9,1985-06-02,1990-09-21,5.306106015485407,1.9736534473694047e-6,3.5525762052649287e-6,113,Maytenus schippii,ST_DI
2,phoeci,56,56,29,27,27,1985-04-28,1990-08-02,5.267025440313115,1.3154298164032924e-5,1.3154298164032924e-5,114,Cinnamomum triplinerve,LD_DT
2,licahy,87,96,77,10,19,1985-04-29,1990-08-30,5.338694693749018,3.934435705426033e-6,7.4754278403094624e-6,115,Licania hypoleuca,ST_DI
2,tachve,2722,2792,2145,577,647,1985-04-16,1990-07-17,5.25409962774336,2.4132533257583988e-4,2.706022360079175e-4,116,Tachigali versicolor,ST_DT
2,protco,587,577,422,165,155,1985-04-28,1990-08-04,5.2721184409626725,7.123618558740332e-5,6.691884100634857e-5,117,Protium costaricense,ST_DI
2,celtsc,71,61,53,18,8,1985-05-11,1990-08-26,5.296438229647365,7.6266099175889524e-6,3.3896044078173124e-6,118,Celtis schippii,ST_DT
