cen,sp,M
2,picrla,0.028013274470257
2,pipea1,0.056891175302171
2,pipeae,0.105162204704286
2,pipeca,0.096673087606491
2,pipeco,0.080645359382915
2,pipecu,0.066526912054457
2,pipeim,0
2,pipepe,0.075959221545686
2,pipere,0.046813217896838
2,pit1ma,NA
2,pit1ru,0
2,pla1pi,0.073674514381753
2,pla2el,0.032898101454357
2,pochqu,NA
2,pochse,0
2,posola,0.01783383510822
2,poular,0.071493911707027
2,pourbi,0.024755651374271
2,poutfo,0
2,poutre,0.014654198850895
2,poutst,0
2,pri2co,0.00637922748763
2,protco,0.023438041735259
2,protpa,0.013598037184257
2,protsp,0
2,protte,0.012960152391401
2,pse1se,0.335839965516018
2,psidfr,0.00563229654028
2,psycac,0.328312321330214
2,psycb1,NA
2,psycch,0.023830775339972
2,psycde,0.141327515724805
2,psycfu,NA
2,psycg1,0.050265135521214
2,psycg2,0.175885636859909
2,psycg3,0.090207194374233
2,psycho,0.047393833044751
2,psycli,0.066017196012971
2,psycma,0.058669978258566
2,psycpi,0
2,psycps,NA
2,psycra,0.13220470375954
2,pterof,0.175002713771719
2,pterro,0.017918812163389
2,quaras,0.015170619118726
2,quasam,0.008918194276102
2,randar,0.018397605354882
2,randfo,0
2,rauvli,NA
2,rinosy,0.01533336425248
2,sapiau,0.118766456059395
2,sapisp,NA
2,sch2mo,NA
2,schipa,0
2,sennda,0.149201764602535
2,simaam,0.054745051320198
2,sipagu,0.0302103902076
2,sipapa,0.025435188292664
2,sloate,0.006856132859386
2,solaar,0
2,solaas,NA
2,solaha,0.237364882147661
2,solast,0.20930268891734
2,soroaf,0.013547129522143
2,spacme,NA
2,sponmo,0.052955204153255
2,sponra,0.06949765306983
2,stemgr,NA
2,sterap,0
2,stylst,0.014293551736739
2,swars1,0.002476985604643
2,swars2,0.002730612349476
2,sympgl,0.020726463439421
2,tab1gu,0.010940129893907
2,tab1ro,0.025045674606004
2,tab2ar,0.01232484312247
2,tachve,0.031995113976894
2,taline,0.006818454489894
2,talipr,0.002936228132669
2,termam,0.015866676043528
2,termob,0.018118690062559
2,ternte,NA
2,tet2pa,0.011785412464158
2,tet4jo,NA
2,theoca,0
2,thevah,0.030939989714043
2,tocopi,0.077591406253846
2,tratas,0.03937453591291
2,tremin,NA
2,tremmi,0.131211198600425
2,tri1gi,0.12841593086458
2,tri2pa,0.019060877626798
2,tri2tu,0.022544970814061
2,tri4ga,NA
2,tripcu,0.028306778913389
2,tropra,0.012733587972741
