"","day","pft","date","dbh","N_co","SMP","NPP","FSDS","water_def","H20_mort_rate","e_frac","c_repro","light"
"479",119,"latedi",2003-04-30 11:30:00,500,800,-15441.782796224,1.27146280356101,20656260.3412628,1574630.12877604,0.000621104106350549,0.0941061453349794,299.131158449831,0.619687810237885
"480",119,"latedt",2003-04-30 11:30:00,500,800,-15441.782796224,1.27146280356101,20656260.3412628,1574630.12877604,0.000633601170864645,0.0939424887937405,298.61095043797,0.619687810237885
"481",120,"earlydi",2003-05-01 11:30:00,500,800,-23072.4637044271,1.43727676186245,18594720.2636719,1574630.12877604,0.000621104106350549,0.0601259160195923,216.043954701633,0.557841607910156
"482",120,"earlydt",2003-05-01 11:30:00,500,800,-23072.4637044271,1.43727676186245,18594720.2636719,1574630.12877604,0.000633601170864645,0.072322415421456,259.868317617553,0.557841607910156
"483",120,"latedi",2003-05-01 11:30:00,500,800,-23072.4637044271,1.43727676186245,18594720.2636719,1574630.12877604,0.000621104106350549,0.0941061453349794,338.141439596041,0.557841607910156
"484",120,"latedt",2003-05-01 11:30:00,500,800,-23072.4637044271,1.43727676186245,18594720.2636719,1574630.12877604,0.000633601170864645,0.0939424887937405,337.553390236917,0.557841607910156
"485",121,"earlydi",2003-05-02 11:30:00,500,800,-32397.0594075521,0.997581313094997,11154600.0497818,1574630.12877604,0.000621104106350549,0.0601259160195923,149.951225634661,0.334638001493454
"486",121,"earlydt",2003-05-02 11:30:00,500,800,-32397.0594075521,0.997581313094997,11154600.0497818,1574630.12877604,0.000633601170864645,0.072322415421456,180.368725355845,0.334638001493454
"487",121,"latedi",2003-05-02 11:30:00,500,800,-32397.0594075521,0.997581313094997,11154600.0497818,1594800.61432292,0.000629060242316261,0.0941061453349794,234.696330083944,0.334638001493454
"488",121,"latedt",2003-05-02 11:30:00,500,800,-32397.0594075521,0.997581313094997,11154600.0497818,1631792.57513021,0.00065660225046906,0.0939424887937405,234.288178315679,0.334638001493454
"489",122,"earlydi",2003-05-03 11:30:00,500,800,-20095.7698974609,1.56430579772859,16249499.7978687,1683147.23190104,0.00066390807480541,0.0601259160195923,235.138297557977,0.487484993936062
"490",122,"earlydt",2003-05-03 11:30:00,500,800,-20095.7698974609,1.56430579772859,16249499.7978687,1683147.23190104,0.000677266386169704,0.072322415421456,282.835934373799,0.487484993936062
"491",122,"latedi",2003-05-03 11:30:00,500,800,-20095.7698974609,1.56430579772859,16249499.7978687,1683147.23190104,0.00066390807480541,0.0941061453349794,368.026971873495,0.487484993936062
"492",122,"latedt",2003-05-03 11:30:00,500,800,-20095.7698974609,1.56430579772859,16249499.7978687,1683147.23190104,0.000677266386169704,0.0939424887937405,367.386949682754,0.487484993936062
"493",123,"earlydi",2003-05-04 11:30:00,500,800,-21043.3033040365,0.583645166807401,5091299.93991852,1683147.23190104,0.00066390807480541,0.0601259160195923,87.7305007117568,0.152738998197556
"494",123,"earlydt",2003-05-04 11:30:00,500,800,-21043.3033040365,0.583645166807401,5091299.93991852,1683147.23190104,0.000677266386169704,0.072322415421456,105.526570531425,0.152738998197556
"495",123,"latedi",2003-05-04 11:30:00,500,800,-21043.3033040365,0.583645166807401,5091299.93991852,1683147.23190104,0.00066390807480541,0.0941061453349794,137.311492229089,0.152738998197556
"496",123,"latedt",2003-05-04 11:30:00,500,800,-21043.3033040365,0.583645166807401,5091299.93991852,1683147.23190104,0.000677266386169704,0.0939424887937405,137.072698855813,0.152738998197556
"497",124,"earlydi",2003-05-05 11:30:00,500,800,-12250.8803304036,1.80720576372551,11203199.8523712,1683147.23190104,0.00066390807480541,0.0601259160195923,271.649754949707,0.336095995571136
"498",124,"earlydt",2003-05-05 11:30:00,500,800,-12250.8803304036,1.80720576372551,11203199.8523712,1683147.23190104,0.000677266386169704,0.072322415421456,326.753714990514,0.336095995571136
