yr,month,rain,run
2117,02,0.48994991580002534,analy_dry75
2117,03,4.630369012375013,analy_dry75
2117,04,43.232962576439604,analy_dry75
2117,05,252.93026911094785,analy_dry75
2117,06,275.4362889099866,analy_dry75
2117,07,336.346850451082,analy_dry75
2117,08,141.15125422831625,analy_dry75
2117,09,168.17810232751071,analy_dry75
2117,10,294.32363491505384,analy_dry75
2117,11,854.0151223540306,analy_dry75
2117,12,468.17779024131596,analy_dry75
2118,01,3.167753053276101,analy_dry75
2118,02,16.43961757508805,analy_dry75
2118,03,12.36598843097454,analy_dry75
2118,04,15.940440469421446,analy_dry75
2118,05,202.8562020510435,analy_dry75
2118,06,186.79010344203562,analy_dry75
2118,07,398.16184658557177,analy_dry75
2118,08,293.0534704355523,analy_dry75
2118,09,227.50657566357404,analy_dry75
2118,10,244.31952950544655,analy_dry75
2118,11,176.62112885154784,analy_dry75
2118,12,146.76166215213016,analy_dry75
2119,01,5.197914934979053,analy_dry75
2119,02,3.1611457332473947,analy_dry75
2119,03,6.603027204255341,analy_dry75
2119,04,11.734437159611844,analy_dry75
2119,05,270.99169737193733,analy_dry75
2119,06,283.6519887903705,analy_dry75
2119,07,159.9427878507413,analy_dry75
2119,08,307.50462419819087,analy_dry75
2119,09,173.16958350129426,analy_dry75
2119,10,216.47740406915545,analy_dry75
2119,11,369.49787638150156,analy_dry75
2119,12,318.41562101617455,analy_dry75
2120,01,8.875708394043613,analy_dry75
2120,02,9.0147723989503,analy_dry75
2120,03,8.178149694140302,analy_dry75
2120,04,22.03759342082776,analy_dry75
2120,05,128.9803046034649,analy_dry75
2120,06,304.35140000190586,analy_dry75
2120,07,241.70933633577079,analy_dry75
2120,08,484.5287438482046,analy_dry75
2120,09,95.98369124578312,analy_dry75
2120,10,383.0603807698935,analy_dry75
2120,11,406.2462563160807,analy_dry75
2120,12,83.27663855161518,analy_dry75
2121,01,11.233395303133875,analy_dry75
2121,02,13.62172088411171,analy_dry75
2121,03,1.7701415035844548,analy_dry75
2121,04,7.342419170890935,analy_dry75
2121,05,136.53092058375478,analy_dry75
2121,06,185.7151689939201,analy_dry75
2121,07,267.2814108431339,analy_dry75
